[stage1] epoch 1/50 step 39 | loss 2.8120 | w [15.0, 8.0, 1.0] | train det 0.0564 seg 0.0993 cnt 1.1720
[stage1] epoch 1/50 step 40 | loss 3.0543 | w [15.0, 8.0, 1.0] | train det 0.0340 seg 0.0672 cnt 2.0068
[stage1] epoch 1/50 step 41 | loss 4.9108 | w [15.0, 8.0, 1.0] | train det 0.0948 seg 0.0801 cnt 2.8484
[stage1] epoch 1/50 step 42 | loss 3.0342 | w [15.0, 8.0, 1.0] | train det 0.0520 seg 0.1304 cnt 1.2112
[stage1] epoch 1/50 step 43 | loss 4.5553 | w [15.0, 8.0, 1.0] | train det 0.1710 seg 0.0616 cnt 1.4978
[stage1] epoch 1/50 step 44 | loss 4.7832 | w [15.0, 8.0, 1.0] | train det 0.1148 seg 0.1355 cnt 1.9764
[stage1] epoch 1/50 step 45 | loss 2.5585 | w [15.0, 8.0, 1.0] | train det 0.0346 seg 0.1088 cnt 1.1697
[stage1] epoch 1/50 step 46 | loss 2.8823 | w [15.0, 8.0, 1.0] | train det 0.0247 seg 0.1239 cnt 1.5204
[stage1] epoch 1/50 step 47 | loss 2.5555 | w [15.0, 8.0, 1.0] | train det 0.0215 seg 0.0884 cnt 1.5262
[stage1] epoch 1/50 step 48 | loss 2.5222 | w [15.0, 8.0, 1.0] | train det 0.0179 seg 0.1198 cnt 1.2963
[stage1] epoch 1/50 step 49 | loss 3.6716 | w [15.0, 8.0, 1.0] | train det 0.0860 seg 0.1192 cnt 1.4286
[stage1] epoch 1/50 step 50 | loss 2.9906 | w [15.0, 8.0, 1.0] | train det 0.0273 seg 0.1136 cnt 1.6733
[stage1] epoch 1/50 step 51 | loss 2.5604 | w [15.0, 8.0, 1.0] | train det 0.0494 seg 0.0675 cnt 1.2791
[stage1] epoch 1/50 step 52 | loss 3.1876 | w [15.0, 8.0, 1.0] | train det 0.0192 seg 0.1208 cnt 1.9339
[stage1] epoch 1/50 step 53 | loss 2.9718 | w [15.0, 8.0, 1.0] | train det 0.0286 seg 0.1874 cnt 1.0442
[stage1] epoch 1/50 step 54 | loss 5.3674 | w [15.0, 8.0, 1.0] | train det 0.2384 seg 0.0972 cnt 1.0131
[stage1] epoch 1/50 step 55 | loss 2.3125 | w [15.0, 8.0, 1.0] | train det 0.0252 seg 0.0990 cnt 1.1426
[stage1] epoch 1/50 step 56 | loss 2.4477 | w [15.0, 8.0, 1.0] | train det 0.0157 seg 0.1431 cnt 1.0669
[stage1] epoch 1/50 step 57 | loss 3.8185 | w [15.0, 8.0, 1.0] | train det 0.1390 seg 0.0573 cnt 1.2745
[stage1] epoch 1/50 step 58 | loss 5.5708 | w [15.0, 8.0, 1.0] | train det 0.1894 seg 0.1742 cnt 1.3363
[stage1] epoch 1/50 step 59 | loss 2.2723 | w [15.0, 8.0, 1.0] | train det 0.0426 seg 0.0628 cnt 1.1304
[stage1] epoch 1/50 step 60 | loss 3.2686 | w [15.0, 8.0, 1.0] | train det 0.0584 seg 0.1475 cnt 1.2118
[stage1] epoch 1/50 step 61 | loss 2.4934 | w [15.0, 8.0, 1.0] | train det 0.0366 seg 0.1018 cnt 1.1298
[stage1] epoch 1/50 step 62 | loss 3.2397 | w [15.0, 8.0, 1.0] | train det 0.0174 seg 0.1110 cnt 2.0913
[stage1] epoch 1/50 step 63 | loss 1.6035 | w [15.0, 8.0, 1.0] | train det 0.0112 seg 0.0879 cnt 0.7321
