swanlab: swanlab version 0.7.15 is available!  Upgrade: `pip install -U swanlab`
swanlab: Tracking run with swanlab version 0.7.14
swanlab: Run data will be saved locally in 
/data/xiangyuyue/ULLM-zf/fsl-20260209/runs/115_mainonly_10per/swanlog/run-20260412_165611-ipkubxipwutocey6s4wf
c
swanlab: 👋 Hi blacknwhit,welcome to swanlab!
swanlab: Syncing run 115_mainonly_10per to the cloud
swanlab: 🏠 View project at https://swanlab.cn/@blacknwhit/115_grpo_mainonly
swanlab: 🚀 View run at https://swanlab.cn/@blacknwhit/115_grpo_mainonly/runs/ipkubxipwutocey6s4wfc
[train] Backbone params: 0
[train] LoRA-MoE params: 6561792
[train] Det head params: 14875060
[train] Seg head params: 9451531
[train] Cnt head params: 9448456
[main] epoch 1/150 step 29 | loss 150022.0253 | w [15.0, 8.0, 1.0] | train det 0.9530 seg 0.9819 cnt 149999.8750 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 30 | loss 146386.5009 | w [15.0, 8.0, 1.0] | train det 1.0122 seg 1.2135 cnt 146361.6094 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 31 | loss 123415.6455 | w [15.0, 8.0, 1.0] | train det 0.6888 seg 0.9367 cnt 123397.8203 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 32 | loss 127962.3443 | w [15.0, 8.0, 1.0] | train det 0.8310 seg 1.1275 cnt 127940.8594 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 33 | loss 111045.0597 | w [15.0, 8.0, 1.0] | train det 0.9530 seg 1.0458 cnt 111022.3984 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 34 | loss 125935.1844 | w [15.0, 8.0, 1.0] | train det 0.8147 seg 0.7767 cnt 125916.7500 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 35 | loss 96936.8412 | w [15.0, 8.0, 1.0] | train det 0.6997 seg 1.5706 cnt 96913.7812 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 36 | loss 91953.6666 | w [15.0, 8.0, 1.0] | train det 0.7616 seg 0.8497 cnt 91935.4453 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 37 | loss 90955.5929 | w [15.0, 8.0, 1.0] | train det 0.6583 seg 1.3428 cnt 90934.9766 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 38 | loss 78775.0386 | w [15.0, 8.0, 1.0] | train det 0.6879 seg 0.9279 cnt 78757.2969 | pairs det_seg 0 det_cnt 0 seg_cnt 0
