[stage1] epoch 1/100 step 26 | loss 118219.9746 | w [15.0, 8.0, 1.0] | train det 0.4148 seg 0.9554 cnt 118206.1094
[stage1] epoch 1/100 step 27 | loss 105806.0717 | w [15.0, 8.0, 1.0] | train det 0.5038 seg 0.5398 cnt 105794.1953
[stage1] epoch 1/100 step 28 | loss 94824.9811 | w [15.0, 8.0, 1.0] | train det 0.7662 seg 0.4242 cnt 94810.0938
[stage1] epoch 1/100 step 29 | loss 91860.0228 | w [15.0, 8.0, 1.0] | train det 0.3446 seg 1.4144 cnt 91843.5391
[stage1] epoch 1/100 step 30 | loss 80784.1816 | w [15.0, 8.0, 1.0] | train det 0.6620 seg 0.8909 cnt 80767.1250
[stage1] epoch 1/100 step 31 | loss 82847.4098 | w [15.0, 8.0, 1.0] | train det 0.7340 seg 1.0539 cnt 82827.9688
[stage1] epoch 1/100 step 32 | loss 70025.6548 | w [15.0, 8.0, 1.0] | train det 0.4630 seg 1.0750 cnt 70010.1094
[stage1] epoch 1/100 step 33 | loss 64316.2056 | w [15.0, 8.0, 1.0] | train det 0.4807 seg 1.1996 cnt 64299.3984
[stage1] epoch 1/100 step 34 | loss 61560.6177 | w [15.0, 8.0, 1.0] | train det 0.4819 seg 1.4335 cnt 61541.9219
[stage1] epoch 1/100 step 35 | loss 57408.9308 | w [15.0, 8.0, 1.0] | train det 1.0265 seg 1.3972 cnt 57382.3555
[stage1] epoch 1/100 step 36 | loss 54275.9861 | w [15.0, 8.0, 1.0] | train det 0.3619 seg 0.7786 cnt 54264.3281
[stage1] epoch 1/100 step 37 | loss 51643.6650 | w [15.0, 8.0, 1.0] | train det 0.7208 seg 0.4968 cnt 51628.8789
[stage1] epoch 1/100 step 38 | loss 45143.2748 | w [15.0, 8.0, 1.0] | train det 1.6223 seg 0.9857 cnt 45111.0547
[stage1] epoch 1/100 step 39 | loss 46022.5414 | w [15.0, 8.0, 1.0] | train det 0.6587 seg 1.2183 cnt 46002.9141
[stage1] epoch 1/100 step 40 | loss 37141.4570 | w [15.0, 8.0, 1.0] | train det 0.3609 seg 0.8414 cnt 37129.3125
[stage1] epoch 1/100 step 41 | loss 35508.6365 | w [15.0, 8.0, 1.0] | train det 0.6651 seg 0.7183 cnt 35492.9141
[stage1] epoch 1/100 step 42 | loss 37564.2396 | w [15.0, 8.0, 1.0] | train det 0.3618 seg 0.8212 cnt 37552.2422
[stage1] epoch 1/100 step 43 | loss 37410.6087 | w [15.0, 8.0, 1.0] | train det 0.1244 seg 1.9131 cnt 37393.4375
[stage1] epoch 1/100 | train 283130.2687 | det 1.0328 seg 1.2567 cnt 283104.7226
[stage1] epoch 2/100 step 1 | loss 31756.4684 | w [15.0, 8.0, 1.0] | train det 0.5531 seg 0.9578 cnt 31740.5098
[stage1] epoch 2/100 step 2 | loss 28953.0863 | w [15.0, 8.0, 1.0] | train det 0.3165 seg 1.1512 cnt 28939.1289
