[stage1] epoch 2/100 step 5 | loss 161494.9342 | w [15.0, 8.0, 1.0] | train det 0.9826 seg 1.2549 cnt 161470.1562
[stage1] epoch 2/100 step 6 | loss 140319.6015 | w [15.0, 8.0, 1.0] | train det 0.8486 seg 1.2380 cnt 140296.9688
[stage1] epoch 2/100 step 7 | loss 135763.3955 | w [15.0, 8.0, 1.0] | train det 1.1642 seg 1.2318 cnt 135736.0781
[stage1] epoch 2/100 step 8 | loss 136155.9626 | w [15.0, 8.0, 1.0] | train det 0.7945 seg 1.2790 cnt 136133.8125
[stage1] epoch 2/100 step 9 | loss 119515.3315 | w [15.0, 8.0, 1.0] | train det 0.6476 seg 1.3389 cnt 119494.9062
[stage1] epoch 2/100 step 10 | loss 111358.2454 | w [15.0, 8.0, 1.0] | train det 0.6216 seg 1.2813 cnt 111338.6719
[stage1] epoch 2/100 step 11 | loss 104838.8334 | w [15.0, 8.0, 1.0] | train det 0.5876 seg 1.1831 cnt 104820.5547
[stage1] epoch 2/100 step 12 | loss 95690.1728 | w [15.0, 8.0, 1.0] | train det 0.6082 seg 1.3597 cnt 95670.1719
[stage1] epoch 2/100 step 13 | loss 88089.4012 | w [15.0, 8.0, 1.0] | train det 0.5860 seg 0.9661 cnt 88072.8828
[stage1] epoch 2/100 step 14 | loss 87053.5073 | w [15.0, 8.0, 1.0] | train det 0.7592 seg 0.9368 cnt 87034.6250
[stage1] epoch 2/100 step 15 | loss 74978.5677 | w [15.0, 8.0, 1.0] | train det 1.1085 seg 1.1860 cnt 74952.4531
[stage1] epoch 2/100 step 16 | loss 68530.2131 | w [15.0, 8.0, 1.0] | train det 0.2905 seg 1.5709 cnt 68513.2891
[stage1] epoch 2/100 step 17 | loss 70363.1677 | w [15.0, 8.0, 1.0] | train det 0.7615 seg 1.2201 cnt 70341.9844
[stage1] epoch 2/100 step 18 | loss 60628.7814 | w [15.0, 8.0, 1.0] | train det 0.3751 seg 1.0409 cnt 60614.8281
[stage1] epoch 2/100 step 19 | loss 58027.9000 | w [15.0, 8.0, 1.0] | train det 0.3783 seg 0.9881 cnt 58014.3203
[stage1] epoch 2/100 step 20 | loss 58589.1900 | w [15.0, 8.0, 1.0] | train det 0.8562 seg 0.6801 cnt 58570.9062
[stage1] epoch 2/100 step 21 | loss 50319.8481 | w [15.0, 8.0, 1.0] | train det 0.7854 seg 0.8844 cnt 50300.9922
[stage1] epoch 2/100 step 22 | loss 50578.3690 | w [15.0, 8.0, 1.0] | train det 0.3531 seg 1.3621 cnt 50562.1758
[stage1] epoch 2/100 | train 110141.5353 | det 0.7502 seg 1.1958 cnt 110120.7157
[stage1] epoch 3/100 step 1 | loss 42343.0508 | w [15.0, 8.0, 1.0] | train det 0.5984 seg 1.0039 cnt 42326.0430
[stage1] epoch 3/100 step 2 | loss 45413.6320 | w [15.0, 8.0, 1.0] | train det 0.3589 seg 0.6698 cnt 45402.8906
