[stage1] epoch 1/150 step 27 | loss 134521.7262 | w [15.0, 8.0, 1.0] | train det 0.7718 seg 0.8742 cnt 134503.1562
[stage1] epoch 1/150 step 28 | loss 135058.8833 | w [15.0, 8.0, 1.0] | train det 0.8325 seg 0.7213 cnt 135040.6250
[stage1] epoch 1/150 step 29 | loss 143842.8256 | w [15.0, 8.0, 1.0] | train det 1.1371 seg 0.3851 cnt 143822.6875
[stage1] epoch 1/150 step 30 | loss 125848.9000 | w [15.0, 8.0, 1.0] | train det 0.9621 seg 0.7295 cnt 125828.6328
[stage1] epoch 1/150 step 31 | loss 105410.4112 | w [15.0, 8.0, 1.0] | train det 0.6236 seg 0.7453 cnt 105395.0938
[stage1] epoch 1/150 step 32 | loss 99818.1755 | w [15.0, 8.0, 1.0] | train det 0.8166 seg 1.0729 cnt 99797.3438
[stage1] epoch 1/150 step 33 | loss 101568.4989 | w [15.0, 8.0, 1.0] | train det 1.3712 seg 1.0070 cnt 101539.8750
[stage1] epoch 1/150 step 34 | loss 83941.7966 | w [15.0, 8.0, 1.0] | train det 0.6987 seg 1.0346 cnt 83923.0391
[stage1] epoch 1/150 step 35 | loss 81131.7752 | w [15.0, 8.0, 1.0] | train det 0.6932 seg 0.5560 cnt 81116.9297
[stage1] epoch 1/150 step 36 | loss 70857.7971 | w [15.0, 8.0, 1.0] | train det 0.9842 seg 0.6850 cnt 70837.5547
[stage1] epoch 1/150 step 37 | loss 67587.2275 | w [15.0, 8.0, 1.0] | train det 0.7143 seg 0.6540 cnt 67571.2812
[stage1] epoch 1/150 step 38 | loss 62659.4332 | w [15.0, 8.0, 1.0] | train det 0.6623 seg 0.7773 cnt 62643.2812
[stage1] epoch 1/150 step 39 | loss 57845.2772 | w [15.0, 8.0, 1.0] | train det 0.7093 seg 0.9981 cnt 57826.6523
[stage1] epoch 1/150 step 40 | loss 54743.3959 | w [15.0, 8.0, 1.0] | train det 0.6244 seg 1.2172 cnt 54724.2930
[stage1] epoch 1/150 step 41 | loss 50935.5084 | w [15.0, 8.0, 1.0] | train det 0.6943 seg 1.1915 cnt 50915.5625
[stage1] epoch 1/150 step 42 | loss 46786.2934 | w [15.0, 8.0, 1.0] | train det 0.3992 seg 0.9923 cnt 46772.3672
[stage1] epoch 1/150 step 43 | loss 46830.2637 | w [15.0, 8.0, 1.0] | train det 0.8448 seg 0.6795 cnt 46812.1562
[stage1] epoch 1/150 step 44 | loss 42983.8996 | w [15.0, 8.0, 1.0] | train det 0.7402 seg 0.7456 cnt 42966.8320
[stage1] epoch 1/150 step 45 | loss 40017.4939 | w [15.0, 8.0, 1.0] | train det 0.4928 seg 0.6914 cnt 40004.5703
[stage1] epoch 1/150 step 46 | loss 36190.6945 | w [15.0, 8.0, 1.0] | train det 0.3550 seg 0.5165 cnt 36181.2383
[stage1] epoch 1/150 step 47 | loss 36912.5950 | w [15.0, 8.0, 1.0] | train det 0.3100 seg 0.5332 cnt 36903.6797
[stage1] epoch 1/150 step 48 | loss 33861.1262 | w [15.0, 8.0, 1.0] | train det 0.3434 seg 0.8128 cnt 33849.4727
