task,S0,S1,S2,S3,S4,S5
det,0.02800144,0.00019930,0.00681601,0.00402583,0.49830598,0.46265146
seg,0.00103635,0.49976084,0.49910316,0.00000000,0.00005979,0.00003986
cnt,0.08765147,0.36222497,0.06548948,0.06441326,0.29647639,0.12374442
