task,S0,S1,S2,S3,S4,S5
det,0.41368383,0.49976084,0.01169882,0.00001993,0.02060746,0.05422911
seg,0.00000000,0.00000000,0.50000000,0.00000000,0.50000000,0.00000000
cnt,0.01783721,0.23891900,0.25516182,0.21203364,0.17815290,0.09789541
