task,S0,S1,S2,S3,S4,S5
det,0.11513472,0.05963010,0.41097337,0.16838728,0.12615593,0.11971859
seg,0.00554050,0.01733897,0.36393893,0.39927456,0.06275909,0.15114796
cnt,0.10572784,0.00001993,0.27307877,0.09933036,0.13526388,0.38657925
